city,base_price_min,base_price_max,base_rent_min,base_rent_max,growth_rate,population,demand_score,supply_score,latitude,longitude
Delhi,4500,6500,20,30,0.08,16787941,95,85,28.6139,77.209
Mumbai,6500,9000,30,45,0.06,12442373,98,75,19.076,72.8777
Bengaluru,4000,6000,18,28,0.1,8443675,92,88,12.9716,77.5946
Pune,3000,4500,15,22,0.09,3124458,85,82,18.5204,73.8567
Hyderabad,3500,5000,16,24,0.09,6993262,88,80,17.385,78.4867
Chennai,3000,4500,14,22,0.07,4646732,80,78,13.0827,80.2707
Noida,3800,5200,16,24,0.085,637272,82,90,28.5355,77.391
Gurugram,4200,5800,18,28,0.09,1516085,87,85,28.4595,77.0266
Greater Noida,3200,4500,14,20,0.1,107674,78,92,28.4744,77.503
Jaipur,2500,4000,12,18,0.07,3046163,75,80,26.9124,75.7873
Ahmedabad,2800,4200,13,20,0.075,5577940,77,82,23.0225,72.5714
Lucknow,2200,3500,10,16,0.065,2901874,72,78,26.8467,80.9462
Kochi,3000,4500,14,22,0.07,2120349,76,72,9.9312,76.2673
Chandigarh,3500,5000,16,24,0.075,1055450,80,75,30.7333,76.7794
Patna,1800,3000,8,14,0.06,1684222,68,75,25.5941,85.1376
